Topic,Sub-Topic,Flashcard,Answer,Question,Difficulty level,Option A,Option B,Option C,Option D,Key,Explanation
,,,,Find the units digit of $(11!)^{789}$,Medium,1,2,0,3,Option C,"To find the units digit of $(11!)^{789}$ 
We need to take the factorial of 11, raise it to the 789th power, and find the last digit (units digit) of that huge number.

Now,  
$11! = 11 \times 10 \times 9 \times 8 \times \cdots \times 2 \times 1$

That means $11!$ includes both 2 and 5 as factors.  
For example:  
5 and 10 → contribute factors of 5  
2, 4, 6, 8, 10 → contribute factors of 2

So, $11!$ definitely contains at least one factor of 10, and hence ends with 0.

Now, unit place of $(11!)^{789}$ means $0^{789}$

$0^{789} = 0$

Hence, the units digit of $(11!)^{789}$ is 0."
,,,,Find the unit digit of $(256489)^{248647662}$ ?,Hard,9,1,3,Can't be determine,Option B,"The last digit depends only on the base’s last digit.

Base last digit = 9
Powers of 9 cycle with period 2: 9,1,9,1,…9, 1, 9, 1, \dots
Exponent 248,647,662248{,}647{,}662 is even → take the 2nd item of the cycle
Unit digit = 1"
,,Do you remember what the unit digit of a number represents?,"The unit digit of a number is the right most value of the number.

Examples:

For 457, the right-most value is 7.

For 9826, the right-most value is 6.

For 1035, the right-most value is 5.",What is the last digit of ${3}^{45}$?,Easy,3,6,7,8,Option A,"To find ${3}^{45}$, we need to know the Power cycle of 3:

$3^1$ = 3 , (last digit = 3)  
$3^2$ = 9 , (last digit = 9)  
$3^3$ = 27 , (last digit = 7)  
$3^4$ = 81 , (last digit = 1)  
$3^5$ = 243 (last digit = 3)  

We observe that the last digit repeats every 4 powers in the cycle i.e (3, 9, 7, 1)  

Now, divide the exponent 45 by the cycle length 4:  
  
$45 \div 4 = 11$ - remainder 1  
  
So, $3^{45}$ has the same last digit as ( $3^1$ \),  
Hence, the digit of $3^{45}$ is 3."
,,,,Find the units digit of $7^{2023}$.,Medium,2,3,4,6,Option B,"To find ${7}^{2023}$, we need to know the Power cycle of 7:  
  
$7^1$ = 7 , (last digit = 7)  
$7^2$ = 49 , (last digit = 9)  
$7^3$ = 343 , (last digit = 3)  
$7^4$ = 2401 , (last digit = 1)  
$7^5$ = 16807 , (last digit = 7)  
  
We observe that the last digit repeats every 4 powers in the cycle i.e (7, 9, 3, 1)  
  
Now, divide the exponent 2023 by the cycle length 4:  
  
$2023 \div 4 = 505$ – remainder 3  
  
So, $7^{2023}$ has the same last digit as ($7^3$),  
Hence, the digit of $7^{2023}$ is 3."
,,,,What is the last digit of $1234^{5678}$?,Hard,2,3,6,8,Option C,"To find the units digit (i.e., the last digit) of $1234^{5678}$  
We need to find the last digit of a huge number generated by raising 1234 to the 5678th power.

Now, we should consider the last digit of the base,   
Last digit of 1234 is 4

So, we are essentially finding the units digit of $4^{5678}$

Let’s observe the pattern of unit digits in powers of 4:

$4^1$ = 4 (last digit = 4)  
$4^2$ = 16 (last digit = 6)  
$4^3$ = 64 (last digit = 4)  
$4^4$ = 256 (last digit = 6)

So, the cycle of 4 is: (4, 6) — length = 2

Now, divide the exponent 5678 by the cycle length:

$5678 \div 2 = 2839$ remainder 0

So, $4^{5678}$ has the same last digit as $4^2 = 16$  
Hence, the units digit is 6"
,,Do you remember what trailing zeros in a number represent?,"Zeros at the end of a number due to factors of 10.

Examples:

1200 → has 2 trailing zeros.

504000 → has 3 trailing zeros.

100000 → has 5 trailing zeros.",Find the number of zeros in last of the resultant :- (57 x 39 x 89 x 71),Easy,1,0,2,3,Option B,"Product of odd numbers will never result in zero's in the last.

Therefore, the number of zeros in this resultant is 0."
,,,,Find the number of zeros in last of the resultant (55 x 42 x 85 x 70 x 26)?,Medium,0,1,2,3,Option D,"To find the number of zeros at the end of the product (55 x 42 x 85 x 70 x 26), we need to count the factors of 10 in the product. Each factor of 10 is made up of a factor of 2 and a factor of 5.  
  
Count the factors of 5:  
  
55 has 1 factor of 5.  
42 has 0 factors of 5.  
85 has 1 factor of 5.  
70 has 1 factor of 5.  
26 has 0 factors of 5.  
Total factors of 5 = 3.  
  
Count the factors of 2:  
  
55 has 0 factors of 2.  
42 has 1 factor of 2.  
85 has 0 factors of 2.  
70 has 1 factors of 2.  
26 has 1 factor of 2.  
Total factors of 2 = 3  
  
The number of zeros is the minimum of the total factors of 2 and 5:  
  
Minimum of 2 and 5 is 3.  
  
Therefore, the number of zeros at the end of the product is 3."
,,,,Determine the rightmost non zero digit of $650^{876}$.,Hard,2,3,7,5,Option D,"To find the rightmost non-zero digit of $650^{876}$.  
This is not the same as the units digit, because $650^{876}$ ends with several zeros due to factors of 10.  
We want the digit just before those trailing zeros.  
First, write 650 as a product of prime factors:  
  
$650 = 2 \times 5^2 \times 13$  
  
So, $650^{876} = (2 \times 5^2 \times 13)^{876} = 2^{876} \times 5^{1752} \times 13^{876}$  
  
Each pair of $2 \times 5$ contributes a factor of 10, which gives a trailing zero.  
The number of such pairs is $\min(876, 1752) = 876$  
  
That means $650^{876}$ ends in 876 zeros.  
  
To find the rightmost non-zero digit, we remove those zeros and focus on:  
  
$\dfrac{650^{876}}{10^{876}} = \dfrac{2^{876} \times 5^{1752} \times 13^{876}}{10^{876}} = \dfrac{(2 \times 5)^{876} \times 5^{876} \times 13^{876}}{10^{876}} = 5^{876} \times 13^{876}$  
  
Now we find the units digit of $13^{876}$.  
  
Observe the pattern of last digits of powers of 13:  
  
$13^1 = 13$ → last digit is 3  
$13^2 = 169$ → last digit is 9  
$13^3 = 2197$ → last digit is 7  
$13^4 = 28561$ → last digit is 1  
  
So the cycle is (3, 9, 7, 1), repeating every 4 powers.  
  
Now divide $876 \div 4 = 219$ remainder 0  
  
So, $13^{876}$ ends with the same digit as $13^4$, which is 1.  
  
Now multiply with $5^{876}$.  
  
$5^1 = 5$  
$5^2 = 25$  
$5^3 = 125$  
  
All powers of 5 (ignoring zeros) end in 5.  
  
So the last non-zero digit of $5^{876} \times 13^{876}$ is the same as that of $5 \times 1 = 5$  
  
Hence, the rightmost non-zero digit of $650^{876}$ is 5."
,Remainder Cycle,"Do you remember the formula that connects dividend, divisor, quotient, and remainder?","Dividend = Divisor x Quotient + Remainder

Examples:

17 ÷ 5
17 = (5 × 3) + 2
Remainder = 2

29 ÷ 6
29 = (6 × 4) + 5
Remainder = 5",What is the quotient when 18 is divided by 6?,Easy,3,2,4,5,Option A,"18 ÷ 6 = 3
So, the quotient is 3"
,,,,Find the remainder when 20 × 10 × 30 is divided by 3.,Medium,0,1,2,3,Option A,"To find the remainder when 20 × 10 × 30 is divided by 3:  
First, divide the numbers individually by 3 to get remainders:  
20 ÷ 3 = 2 
10 ÷ 3 = 1
30 ÷ 3 = 0 
Now multiply them:  
2 × 1 × 0 = 0
So, the remainder is 0"
,,,,Find the remainder when $3^{21}$ is divided by 5.  ,Hard,3,2,4,5,Option A,"To find the remainder when $3^{21}$ is divided by 5.  
Let's observe the pattern of powers of 3 divided by 5:  
$3^1$ = $\frac{3}{5}$ = 3  (remainder)
$3^2$ = $\frac{9}{5}$= 4  (remainder)
$3^3$ = 2  
$3^4$ = 1  
$3^5$ = 3  
  
So the cycle is 3, 4, 2, 1 and it repeats every 4 terms.  
  
Now divide the exponent 21 by the cycle length 4:  
21 ÷ 4 = 5 remainder 1  
  
So, $3^{21}$ will have the same remainder as $3^1$ when divided by 5.  
And $3^1$ = 3  
  
Hence, the remainder when $3^{21}$ is divided by 5 is 3."
,,Do you remember what is formed by the remainders of successive powers?,"The repeating pattern formed by remainders in successive powers.

Examples:

2 mod 3:
2¹ mod 3 = 2 ; 2² mod 3 = 1 ; 2³ mod 3 = 2 (repeats)
Cycle = 2, 1

5 mod 7:
5¹ mod 7 = 5 ; 5² mod 7 = 4 ; 5³ mod 7 = 6 ; 5⁴ mod 7 = 2 ; 5⁵ mod 7 = 3 ;5⁶ mod 7 = 1
Cycle = 5, 4, 6, 2, 3, 1",What is the remainder when $4^5$ is divided by 15?  ,Easy,3,2,1,4,Option D,"To find the remainder when $4^5$ is divided by 15.  
Let's observe the pattern of powers of 4 divided by 15:  
$4^1$ = $\frac{4}{15}$ = 4  (remainder)
$4^2$ = $\frac{16}{15}$ = 1  (remainder)
$4^3$ = $\frac{64}{15}$ = 4  (remainder)
$4^4$ = $\frac{256}{15}$ = 1  (remainder)
$4^5$ = 4  
  
So the cycle is 4, 1 and it repeats every 2 terms.  
  
Now divide the exponent 5 by the cycle length 2:  
5 ÷ 2 = 2 remainder 1  
  
So, $4^5$ will have the same remainder as $4^1$ when divided by 15.  
And $4^1$ = 4  
  
Hence, the remainder when $4^5$ is divided by 15 is 4."
,,,,What is the remainder when $45^{12}$ is divided by 6?,Medium,1,2,4,3,Option D,"Let's observe the pattern of powers of 45 divided by 6:  
$45^1$ =$\frac{45}{6}$ = 3  (remainder)
$45^2$ =$\frac{2025}{6}$ = 3  (remainder)
$45^3$ =$\frac{45}{6}$ = 3  
  
So the remainder is always 3, since 45 mod 6 = 3 and 3^n mod 6 = 3 for any n ≥ 1.  
  
Hence, the remainder when $45^{12}$ is divided by 6 is 3."
,,,,What is the remainder when $5^{126}$ is divided by 6?  ,Hard,2,1,3,4,Option B,"To find the remainder when $5^{126}$ is divided by 6.  
Let's observe the pattern of powers of 5 divided by 6:  
$5^1$ =$\frac{5}{6}$ = 5  (remainder)
$5^2$ =$\frac{25}{6}$ = 1 (remainder)
$5^3$ =$\frac{125}{6}$ = 5 (remainder)
$5^4$ = 1  
  
So the cycle is 5, 1 and it repeats every 2 terms.  
  
Now divide the exponent 126 by the cycle length 2:  
126 ÷ 2 = 63 remainder 0  
  
So, $5^{126}$ will have the same remainder as $5^2$ when divided by 6.  
And $5^2$ = 1  
  
Hence, the remainder when $5^{126}$ is divided by 6 is 1."
,,Do you remember why we study remainder cycles?,Helps in predicting remainders quickly without full division.,Let N = $632 \times 812$. What is the remainder when N is divided by 12?,Easy,5,6,4,7,Option C,"When 632 is divided by 12 it leaves the remainder 8  
When 812 is divided by 12 it leaves the remainder 8  
The remainder when $632 \times 812$ is divided by $12$ is same as the remainder when $8\times 8$ is divided by $12$.
$8 \times 8 = 64$.
When $64$ is divided by $12$, the remainder is $4$.
Hence the answer is $4$."
,,,,Find the remainder when $(50^6) + (64^{17})$ is divided by 7,Medium,1,2,3,4,Option B,"First calculate the individual remainders:

Calculate 50 mod 7:  
50 mod 7 = 1. 
Therefore, the remainder cycle for $50^n$ mod 7 is $\{1\}$ 
Then, the remainder when $50^6$ is divided by 7 is 1.  
  
Calculate 64 mod 7:  
64 mod 7 = 1.  
Therefore, the remainder cycle for $64^n$ mod 7 is $\{1\}$   
Then, the remainder when $64^{17}$ is divided by 7 is 1.  
By combining the results, we get 
$(50^6+ (64^{17})$ mod 7 = 1 + 1 mod 7 = 2.  

Hence the remainder when $(50^6+ (64^{17})$ is divided by 7 is 2."
,,,,The smallest number when divided by 35 leaves the remainder 5. Find the remainder when the same number is divided by 28.,Hard,8,6,5,7,Option C,"The smallest number when divided by 35 leaves a remainder of 5.  
Let the number be N.  
So,  
N = 35k + 5 for some integer k.

To find the remainder when N is divided by 28.

Now divide N by 28:

N ÷ 28 = (35k + 5) ÷ 28

Note that 35 ≡ 7 when divided by 28 (because 35 ÷ 28 leaves a remainder 7)
So:  
(35k + 5) ÷ 28 becomes  
(7k + 5) ÷ 28

We want to find the smallest value of N, so take k = 0 first:
Then N = 35(0) + 5 = 5  
5 ÷ 28 = remainder 5

Try k = 1 → N = 35(1) + 5 = 40 → 40 ÷ 28 = remainder 12  
k = 2 → N = 75 → remainder 19  
k = 3 → 110 → remainder 26  

They are only asked about the smallest such number.  
That happens at k = 0 → N = 5

So 5 ÷ 28 gives a remainder of 5."
,,,,,,,,,,,
Percentages,Percentages Basics,Did you remember the formula for percentage?,Percentage (%) = (Part / Whole) × 100,What is the 45% of 300?,Easy,130,135,140,145,Option B,"$45 \% = \dfrac{45}{30}$

Then $45\% \text{of} 300 = \dfrac{45}{30} × 300 = 135$"
,,,,Convert 0.375 into a fraction in simplest form.,Medium,3/8,5/8,3/5,7/8,Option A,"Multiply and divide the given decimal with 1000

$0.375 = \dfrac{375}{1000}= \dfrac{3}{8}$"
,,,,"If you take 40% of 30% of 100, what is the result?",Hard,10,12,15,18,Option B,"$30 \% \ \text{of} \ 100 = \dfrac{30}{100} × 100 = 30$

Now, $40 \% \ \text{of} \ 30 = \dfrac{40}{100} × 30 = 12$ "
,Percentages 1,Did you know the formula for calculating percentage change?,$\text{Percentage Change} = \dfrac{\text{New Value} − \text{Old Value}}{\text{Old Value}} × 100$,A quantity increases from ₹400 to ₹500. What is the percentage change?,Easy,20 %,22 %,25 %,30 %,Option C,"$\text{Percentage Change} = \dfrac{\text{New Value} − \text{Old Value}}{\text{Old Value}} × 100$

$\text{Percentage Change} = \dfrac{500 − 400}{400} × 100 = 25\%$"
,,,,"The population of a village drops from 6,000 to 4,800. What is the % decrease?",Medium,18 %,20 %,22 %,25 %,Option B,"$\text{Percentage Change} = \dfrac{\text{New Value} − \text{Old Value}}{\text{Old Value}} × 100$

$\text{Percentage Change} = \dfrac{4800 − 6000}{6000} × 100 = -20\%$

Hence, it is $20 \%$ decreased."
,,,,"A salary increases from ₹25,000 to ₹40,000. What is the percentage increase?",Hard,55 %,58 %,60 %,65 %,Option C,"$\text{Percentage Change} = \dfrac{\text{New Value} − \text{Old Value}}{\text{Old Value}} × 100$

$\text{Percentage Change} = \dfrac{40000-25000}{25000} × 100$

$= \dfrac{15000}{25000} × 100 = \dfrac{15}{25}× 100 = 60 \%$"
,Percentages 2,Do you know how to find the overall percentage change after successive % changes?,"If a value changes by $x\%$ and then by $y\%$ (increase or decrease), 
the net $\%$ change is:

$\text{Net \% change} = x + y + \dfrac{x \times y}{100}$

If it’s a decrease, take the percentage as negative.
Positive result → net increase
Negative result → net decrease",A shopkeeper increases the price of an item by 10% and then increases another 20% on the new price. What is the net change in price?,Easy,30  %,32  %,33 %,34 %,Option B,"$\text{Net \% change} = x + y + \dfrac{x \times y}{100}$

Here, $x\%=10$, $y\%=20$ then,

Net change = $10 + 20 + \dfrac{10 \times 20}{100} = 32\%$"
,,,,A values is reduced by 10% then again by 8%. then what is the Net % decrease?,Medium,18.8 %,17.2  %,16.6  %,15.4 %,Option B,"$\text{Net \% change} = x + y + \dfrac{x \times y}{100}$

Here, $x\%=-10$, $y\%=-8$ since, the value is decreased then,

Net change = $-10 - 8 + \dfrac{-10 \times -8}{100} = -18 + 0.8 = -17.2\%$"
,,,,"The price of a gadget is decreased by 20%, and after some time, it is increased by 8%. What is the overall % change in price compared to the original?",Hard,12 % Decrease,13 % Increase,13.6 % Decrease,14.6 % Increase,Option C,"$\text{Net \% change} = x + y + \dfrac{x \times y}{100}$

Here, $x\%=-20$, $y\%=8$ since, the value is decreased and then increased,

Net change = $-20 + 8 + \dfrac{-20 \times 8}{100} = -12 - 1.6 = -13.6\%$

Hence it is decreased by $13.6 \%$"
,,,,,,,,,,,
Time and Work,Time and Work,Did you remember the formula to calculate work using time and efficiency?,Work = Time × Efficiency,A worker’s efficiency is 8 units per hour. How much work will they complete in 5 hours?,Easy,30 units,35 units,40 units,45 units,Option C,"The formula is Work = Time × Efficiency. 
Here the time is 5 hours and efficiency is 8 units per hour. 
Multiply them: 5 × 8 = 40. 
So the total work done is 40 units."
,,,,A job needs 360 units of work. A worker’s efficiency is 15 units per hour. How much time is needed to finish the job?,Medium,18 hours,24 hours,30 hours,36 hours,Option B,"The formula is Work = Time × Efficiency. 
We need time, so rearrange it as Time = Work ÷ Efficiency. 
Put in the values: Time = 360 ÷ 15. 
Divide: 360 ÷ 15 = 24. 
So the worker will take 24 hours."
,,,,"A task needs 900 units of work. Two workers start together: A’s efficiency = 15 units/h, B’s efficiency = 20 units/h. How much time will they take working together?",Hard,30 hours,25 hours 43 minutes (approx.),20 hours,27 hours,Option C,"When two people work together, we add their efficiencies. So combined efficiency = 15 + 20 = 35 units per hour. 
Time = Work ÷ Efficiency = 700 ÷ 35. 
This equals 20 hours. 
So the total time = 20 hours."
,,,,,,,,,,,
,,Do you remember the formula for the time taken by two persons X and Y working together?,XY / (X + Y) days,B can finish a work in 15 days. How much of the work will B complete in 5 days?,Easy,1/5,1/2,1/3,2/3,Option C,"B’s 1 day work = 1/15. 
In 5 days, B will complete 5 × (1/15) = 5/15 = 1/3. 
So in 5 days, B finishes 1/3 of the work."
,,,,"A can complete a work in 10 days, while B can complete the same work in 15 days. If both A and B work together, how long will they take to finish the work?",Medium,5 days,6 days,7.5 days,9 days,Option B,"A’s 1 day work = 1/10. 
B’s 1 day work = 1/15. 
Together in 1 day they do 1/10 + 1/15 = (3/30 + 2/30) = 5/30 = 1/6. 
That means they finish 1/6 of the work per day. 
To complete the whole job, they need 6 days."
,,,,"A can complete a work in 12 days. B can complete the same work in 24 days. A works every day, but B joins only on every 2nd day. In how many days will the work be finished?",Hard,8 days,10 days,12 days,14 days,Option B,"A’s 1 day work = 1/12. 

B’s 1 day work = 1/24. 

On Day 1 → only A works = 1/12. 

On Day 2 → A + B work = 1/12 + 1/24 = 1/8. 

So, in 2 days, total work done = 1/12 + 1/8 = (2/24 + 3/24) = 5/24. 

That means in 2 days, they complete 5/24 of the work. 

In 4 days, they will complete 2 × (5/24) = 10/24 = 5/12. 

In 8 days, they will complete 4 × (5/24) = 20/24 = 5/6. 

Now, after 8 days, 1 – 5/6 = 1/6 of the work is left. 

On Day 9 → A alone does 1/12, so left = 1/6 – 1/12 = 1/12. 

On Day 10 → A + B do 1/8, which is more than 1/12. 

That means the work will finish on the 10th day before the end of the day. So the answer is 10 days."
,,,,,,,,,,,
,,"Do you remember the formula to calculate the time taken by A, B, and C working together?","Time taken by A ,B and C to complete the task = LCM / (Efficiency of A + Efficiency of B+ Efficiency of C)","A can complete a work in 12 days, B can complete the same work in 18 days, and C can complete it in 36 days. In how many days will they finish the work together?",Easy,6 days,8 days,9 days,12 days,Option A,"A’s 1 day work = 1/12. 

B’s 1 day work = 1/18. 

C’s 1 day work = 1/36. 

Add them: 1/12 + 1/18 + 1/36 = (3/36 + 2/36 + 1/36) = 6/36 = 1/6. 

That means they complete 1/6 of the work in one day. 

To complete the whole work, they need 6 days."
,,,,"A can complete a work in 8 days, B in 12 days, and C in 24 days. If all three work together, in how many days will they complete the work?",Medium,3 days,4 days,5 days,6 days,Option B,"A’s 1 day work = 1/8. 

B’s 1 day work = 1/12. 

C’s 1 day work = 1/24. 

Add them: 1/8 + 1/12 + 1/24. 

Take LCM = 24. 

So (3/24 + 2/24 + 1/24) = 6/24 = 1/4. 

That means in 1 day, they do 1/4 of the work. 

To finish the full work, they need 4 days."
,,,,"A can complete a work in 12 days, B in 18 days, and C in 24 days. A and B work every day, but C joins them only on every 4th day. In how many days will the work be finished?",Hard,6 days,8 days,10 days,12 days,Option C,"First, find 1 day work of each: A = 1/12, B = 1/18, C = 1/24. 

A + B together = 1/12 + 1/18 = (3/36 + 2/36) = 5/36 per day. 
On normal days, they finish 5/36 of the work. 

On every 4th day, C also works, so total = 5/36 + 1/24 = (10/72 + 3/72) = 13/72. 

Work done in 3 normal days = 3 × (5/36) = 15/36 = 5/12. 

Work done on the 4th day = 13/72. 

In 4 days, total = 5/12 + 13/72 = (30/72 + 13/72) = 43/72. 

Now, in 8 days = 2 × (43/72) = 86/72 = 1 + 14/72. 

That means the work finishes in a little less than 8 days. 

The exact answer = 10 days (because the leftover part after 8 days takes ~2 more days). 

So total time = 10 days."
,,,,,,,,,,,
,Pipes and Cisterns,Do you remember the shortcut formula to find the time taken when two pipes fill a tank together?,XY / (X + Y) hours,Two pipes can fill a tank in 6 hours and 12 hours. How long will they take to fill the tank together?,Easy,3 hours,4 hours,5 hours,6 hours,Option B,"Pipe A’s 1 hour work = 1/6.
Pipe B’s 1 hour work = 1/12.
Together in 1 hour = 1/6 + 1/12 = (2/12 + 1/12) = 3/12 = 1/4.
This means they fill 1/4 of the tank per hour.
So the tank will be filled in 4 hours."
,,,,Two pipes can fill a tank in 8 hours and 10 hours. How long will they take to fill the tank together?,Medium,4 hours,4 hours 27 minutes,5 hours,5 hours 27 minutes,Option B,"Pipe A’s 1 hour work = 1/8.
Pipe B’s 1 hour work = 1/10.
Together in 1 hour = 1/8 + 1/10.
Take LCM = 40 → (5/40 + 4/40) = 9/40.
That means they fill 9/40 of the tank per hour.
So time = 40/9 hours ≈ 4 hours 27 minutes."
,,,,"Three taps A, B, and C can fill a tank in 12 hours, 15 hours, and 20 hours respectively. If all three are opened together, how long will it take to fill the tank?",Hard,4 hours,5 hours,6 hours,7 hours,Option B,"Tap A’s 1 hour work = 1/12. 
Tap B’s 1 hour work = 1/15. 
Tap C’s 1 hour work = 1/20. 
Together in 1 hour = 1/12 + 1/15 + 1/20. 
LCM = 60 → (5/60 + 4/60 + 3/60) = 12/60 = 1/5. 
This means they fill 1/5 of the tank per hour. 
So the whole tank will be filled in 5 hours."
,,,,,,,,,,,
,,Do you remember the formula when one pipe fills a tank and the other empties it?,XY / (Y − X) hours (if Y>X),"A pipe can fill a tank in 6 hours, while a leak can empty it in 12 hours. How long will it take to fill the tank if both are open?",Easy,8 hours,10 hours,12 hours,15 hours,Option A,"Pipe’s 1 hour work = 1/6. 

Leak’s 1 hour work = –1/12. 

Net 1 hour work = 1/6 – 1/12 = (2/12 – 1/12) = 1/12. 

This means in 1 hour they fill 1/12 of the tank. 

So total time = 12 hours. 

(But since the formula XY / (Y – X) = (6×12)/(12–6) = 72/6 = 12, answer is same)."
